product_id,product_name,category,price,cost,stock_quantity,avg_daily_sales,return_rate,avg_rating,review_count,launch_date,reorder_level
SC001,Classic Cotton Tee,Tops,29.99,12.50,450,18,3.2,4.5,142,2024-01-15,100
SC002,Silk Blend Blouse,Tops,79.99,38.00,85,6,5.1,4.2,87,2024-03-01,50
SC003,Oversized Graphic Hoodie,Tops,59.99,22.00,320,14,4.8,4.7,203,2024-02-10,80
SC004,Linen Summer Shirt,Tops,49.99,20.00,60,12,2.9,4.3,95,2024-04-20,70
SC005,Ribbed Tank Top,Tops,19.99,7.50,600,22,1.5,4.6,178,2024-01-05,120
SC006,Floral Midi Dress,Dresses,89.99,35.00,40,8,6.2,4.1,110,2024-03-15,45
SC007,Bodycon Mini Dress,Dresses,54.99,18.00,200,10,7.8,3.8,156,2024-02-28,60
SC008,Maxi Wrap Dress,Dresses,99.99,42.00,30,5,4.5,4.4,92,2024-04-01,35
SC009,Denim Shirt Dress,Dresses,69.99,28.00,150,7,3.1,4.0,68,2024-01-20,50
SC010,Cocktail Sequin Dress,Dresses,129.99,55.00,75,3,8.5,4.3,45,2024-05-01,30
SC011,Slim Fit Chinos,Bottoms,44.99,18.00,280,15,2.8,4.4,134,2024-01-10,90
SC012,High-Waist Jeans,Bottoms,64.99,25.00,95,11,4.2,4.6,215,2024-02-15,70
SC013,Pleated Wide-Leg Pants,Bottoms,74.99,30.00,45,4,3.5,4.1,58,2024-04-10,40
SC014,Cargo Joggers,Bottoms,39.99,15.00,380,20,2.1,4.5,189,2024-03-05,100
SC015,Leather Look Leggings,Bottoms,34.99,22.00,25,9,6.0,3.6,97,2024-02-01,50
SC016,Wool Blend Overcoat,Outerwear,189.99,85.00,55,2,3.8,4.7,38,2024-09-15,25
SC017,Puffer Jacket,Outerwear,129.99,52.00,120,8,4.1,4.5,112,2024-08-20,40
SC018,Trench Coat Classic,Outerwear,159.99,68.00,40,3,5.0,4.2,56,2024-09-01,30
SC019,Denim Jacket Vintage,Outerwear,89.99,35.00,90,6,2.5,4.8,148,2024-03-10,45
SC020,Lightweight Windbreaker,Outerwear,69.99,28.00,200,10,1.8,4.3,82,2024-04-15,60
SC021,Leather Crossbody Bag,Accessories,59.99,24.00,180,9,2.2,4.6,125,2024-01-25,55
SC022,Silk Scarf Collection,Accessories,34.99,12.00,300,5,1.0,4.4,67,2024-02-20,80
SC023,Minimalist Watch,Accessories,149.99,65.00,35,2,3.5,4.8,94,2024-05-10,20
SC024,Statement Earrings Set,Accessories,24.99,8.00,500,15,1.2,4.3,156,2024-01-30,100
SC025,Canvas Tote Bag,Accessories,39.99,14.00,250,12,1.5,4.5,108,2024-03-20,70
SC026,Cashmere Beanie,Accessories,44.99,20.00,15,7,2.0,4.1,43,2024-08-01,30
SC027,Embroidered Kimono,Tops,94.99,45.00,20,3,4.0,4.0,32,2024-05-15,25
SC028,Athletic Shorts,Bottoms,29.99,10.00,420,25,1.8,4.7,201,2024-03-25,110
SC029,Faux Fur Vest,Outerwear,109.99,48.00,10,4,5.5,3.9,29,2024-09-20,20
SC030,Charm Bracelet Set,Accessories,19.99,15.00,350,8,0.8,4.2,88,2024-04-05,90
